Unnamed: 0.1,Unnamed: 0,Name,Gender,Birth date,Country,Job,First crime age ,Cause,Motive,Victim audience,Proven victims,Total victims,Level of cruelty,Crime longitude,Imprisoned years,Family,Weapon,Alive or dead,By whom,Imprisoned years processed,IQ processed,Consolidated Motive,Consolidated Victim Audience,Generation
0,0,Luis Garavito,Male,25.01.1957,Colombia,Service,35,Bullying,Desire for power,Children,193,300,Hard,7,22,Eldest,Knife,Dead,Parents,"Prisoned for years, not for lifetime",Uneducated,Desire for Power or Fame,Children,Baby Boomer Generation
1,1,Pedro Lopez,Male,08.10.1948,Colombia,Male prostitute,22,Sexual abuse,Revenge,Young girls,110,300,Moderate,11,25,Middle,Bare hands,Alive,Teacher,"Prisoned for years, not for lifetime",Uneducated,Revenge or Hatred,Young Individuals,Baby Boomer Generation
2,2,Javed Iqbal,Male,08.10.1956,Pakistan,Businessman,42,Mental illness,Revenge,Young boys,100,100,Hard,1,700,Middle,Acid,Dead,None/No one,Life imprisonment,Intellectual,Revenge or Hatred,Young Individuals,Baby Boomer Generation
3,3,Mikhail Popkov,Male,07.03.1964,Russia,Police,34,Resentment/Hate,The desire to cleanse the world of vicious women,Women,86,86,Hard,18,200,Eldest,Metal object,Alive,Prostitutes/Women,Life imprisonment,No info,Cleansing or Societal Change,Miscellaneous Groups,Baby Boomer Generation
4,4,Daniel Barbosa,Male,22.01.1930,Colombia,Service,44,Bullying,Getting rid of virgins,Young girls,72,180,Moderate,12,41,Only child,Knife,Dead,Family members,"Prisoned for years, not for lifetime",Intellectual,Other Motives,Young Individuals,Silent Generation
5,5,Pedro Filho,Male,17.07.1954,Brazil,Miscellaneous Occupations,14,Mental illness,The desire to cleanse the world of criminals,Criminals,71,100,Moderate,36,34,No info,Knife,Dead,Brain damage,"Prisoned for years, not for lifetime",No info,Cleansing or Societal Change,Criminals,Baby Boomer Generation
6,6,Kampatimar Shankariya,Male,1952,India,Unemployed,25,Without any Cause,For pleasure,All,70,70,Easy,1,0,No info,Hammer/Axes,Dead,None/No one,Not imprisoned/Other,No info,Other Motives,Miscellaneous Groups,Baby Boomer Generation
7,7,Hoshang Amini,Male,1936,Iran,Service,18,Bullying,The desire to rid the world of corruption,Young boys,67,67,Hard,8,10000,Youngest,Rope,Dead,Family members,Death penalty,No info,Other Motives,Young Individuals,Silent Generation
8,8,Yang Xinhai,Male,17.07.1968,China,Labourer,31,Resentment/Hate,"Enjoyment of robbery, rape and murder",Farmers,67,67,Moderate,4,10000,Youngest,Hammer/Axes,Dead,Partner,Death penalty,Intellectual,Robbery or Material Gain,Miscellaneous Groups,Generation X
9,9,William Unek,Male,1929,Tanganyika,Police,25,Resentment/Hate,No info,All,57,57,Easy,3,10000,No info,Shooting,Dead,Partner,Death penalty,No info,Miscellaneous or Undefined,Miscellaneous Groups,Silent Generation
10,10,Samuel Little,Male,07.06.1940,USA,Medical Employee,30,Resentment/Hate,Choking,Women,60,93,Hard,35,400,Only child,Bare hands,Dead,Parents,Life imprisonment,Uneducated,Other Motives,Miscellaneous Groups,Silent Generation
11,11,Mohammed Bijeh,Male,1982,Iran,Police,20,Mental illness,Desire for power,Children,54,54,Moderate,2,10000,Middle,Hammer/Axes,Dead,Brain damage,Death penalty,No info,Desire for Power or Fame,Children,Xennials
12,12,Wang Qiang,Male,16.01.1975,China,Robber,20,Bullying,Pervert,Women,45,60,Hard,8,10000,Only child,Bare hands,Dead,Prostitutes/Women,Death penalty,No info,Sexual or Sadistic Pleasure,Miscellaneous Groups,Xennials
13,13,Andrei Chikalito,Male,16.10.1936,Ukraina,Teacher,42,Death of close person,Revenge,Young girls,53,56,Hard,12,10000,Middle,Knife,Dead,Classmates,Death penalty,Intellectual,Revenge or Hatred,Young Individuals,Silent Generation
14,14,Ahmad Suraji,Male,10.01.1949,Indonesia,Miscellaneous Occupations,37,Unique,"The belief that by killing 70 women and drinking their saliva, you can become a healer",Women,42,80,Easy,11,10000,No info,Cable,Dead,None/No one,Death penalty,No info,Other Motives,Miscellaneous Groups,Baby Boomer Generation
15,15,Moses Sithole,Male,17.11.1964,South Africa,Unemployed,30,Resentment/Hate,The desire to become famous,Women,38,76,Hard,1,2410,Youngest,Bare hands,Dead,Parents,Life imprisonment,No info,Desire for Power or Fame,Miscellaneous Groups,Baby Boomer Generation
16,16,Omar Abdul Razeq Abdullah Rifai,Male,1985,Egypt,Unemployed,17,Resentment/Hate,For pleasure,All,38,38,Easy,5,0,Middle,Shooting,Dead,Parents,Not imprisoned/Other,No info,Other Motives,Miscellaneous Groups,Millennial/Gen Y
17,17,Ted Bundy,Male,24.11.1946,USA,Police,28,Death of close person,Sadism,Young girls,35,100,Hard,4,10000,No info,Saw,Dead,Family members,Death penalty,Intellectual,Sexual or Sadistic Pleasure,Young Individuals,Baby Boomer Generation
18,18,Fernando Hernandez Leiva,Male,30.11.1964,Mexico,Police,18,Mental illness,Getting pleasure from committing murders,All,33,137,Moderate,17,50,No info,Bare hands,Alive,None/No one,"Prisoned for years, not for lifetime",No info,Other Motives,Miscellaneous Groups,Baby Boomer Generation
19,19,John Wayne Gacy,Male,17.03.1942,USA,Miscellaneous Occupations,30,Bullying,Desire for power,Ophrans,33,45,Moderate,6,10000,Eldest,Cable,Dead,Parents,Death penalty,No info,Desire for Power or Fame,Miscellaneous Groups,Silent Generation
20,20,Radik Tagirov,Male,1981,Russia,Labourer,30,Mental illness,"Selfish, partly the pleasure of killing and the hatred of older women",Older women,31,31,Moderate,1,100,Eldest,Hammer/Axes,Alive,None/No one,Life imprisonment,No info,Revenge or Hatred,Miscellaneous Groups,Xennials
21,21,Anatoly Onoprienko,Male,25.07.1959,Ukraina,Robber,30,No parents,"Misanthropy, robbery",All,52,52,Easy,7,10000,Youngest,Knife,Dead,Parents,Death penalty,Intellectual,Revenge or Hatred,Miscellaneous Groups,Baby Boomer Generation
22,22,Karl Denke,Male,11.02.1930,Germany,Medical Employee,43,Without any Cause,"Cannibalism, self-serving.",All,30,42,Hard,21,10000,Youngest,Knife,Dead,None/No one,Death penalty,No info,Sexual or Sadistic Pleasure,Miscellaneous Groups,Silent Generation
23,23,Florisvaldo de Oliveira,Male,18.11.1958,Brazil,Police,24,Resentment/Hate,Desire for revenge against women ,Criminals,50,50,Moderate,1,160,Only child,Bare hands,Dead,Partner,Life imprisonment,No info,Revenge or Hatred,Criminals,Baby Boomer Generation
24,24,Gary Ridgway,Male,18.02.1949,USA,Transportation,33,Unique,Necrophilia,Prostitutes,49,90,Moderate,18,4900,Middle,Bare hands,Alive,None/No one,Life imprisonment,Intellectual,Sexual or Sadistic Pleasure,Prostitutes,Baby Boomer Generation
25,25,Alexander Pichuskin,Male,09.04.1974,Russia,Police,18,Mental illness,Competition with another notorious Russian serial killer,All,49,60,Easy,14,100,Eldest,Bottle,Alive,Brain damage,Life imprisonment,Intellectual,Other Motives,Miscellaneous Groups,Generation X
26,26,Raman Raghav ,Male,1929,India,Police,36,Mental illness,Desire for power,Homelesses,41,41,Moderate,3,22,No info,Hammer/Axes,Dead,None/No one,"Prisoned for years, not for lifetime",No info,Desire for Power or Fame,Homeless,Silent Generation
27,27,Serhiy Tkach,Male,19.11.1952,Ukraine,Unemployed,32,Without any Cause,Hatred of law enforcement agencies,Young girls,37,100,Hard,21,10000,No info,Bare hands,Dead,None/No one,Death penalty,Intellectual,Revenge or Hatred,Young Individuals,Baby Boomer Generation
28,28,Gennady Mikhasevich,Male,07.04.1947,Byelorussia,Soldier,24,Resentment/Hate,No motive,Women,36,55,Easy,14,10000,Only child,Bare hands,Dead,Partner,Death penalty,Intellectual,Miscellaneous or Undefined,Miscellaneous Groups,Baby Boomer Generation
29,29,Ramadan Abdel Rehim Mansour,Male,1980,Egypt,Service,19,Resentment/Hate,Desire for revenge against women ,Young boys,32,32,Moderate,7,10000,Only child,Bare hands,Dead,Parents,Death penalty,No info,Revenge or Hatred,Young Individuals,Xennials
30,30,Francisco das Chagas Rodrigues de Brito,Male,1964,Brazil,Police,25,Mental illness,"Sought to justify himself, lacked pity and lied",Children,30,42,Hard,14,217,No info,Knife,Alive,None/No one,Life imprisonment,No info,Other Motives,Children,Baby Boomer Generation
31,31,David Thabo Simelane,Male,1956,Swaziland,Robber,44,Resentment/Hate,Desire for revenge against women ,Women,28,45,Moderate,1,40,No info,Bare hands,Dead,Parents,"Prisoned for years, not for lifetime",No info,Revenge or Hatred,Miscellaneous Groups,Baby Boomer Generation
32,32,Luis Gregorio Ramírez Maestre,Male,30.09.1980,Colombia,Unemployed,30,Without any Cause,Stealing motorcycles,Motorcyclists,30,30,Easy,2,34,No info,Bare hands,Alive,None/No one,"Prisoned for years, not for lifetime",No info,Robbery or Material Gain,Miscellaneous Groups,Xennials
33,33,Robert Pickton,Male,24.10.1949,Canada,Agriculture employee,34,Mental illness,Desire for power,Prostitutes,26,49,Hard,19,600,Middle,Shooting,Alive,None/No one,Life imprisonment,No info,Desire for Power or Fame,Prostitutes,Baby Boomer Generation
34,34,Juan Corona,Male,07.02.1934,USA,Labourer,37,Mental illness,No info,Workers,25,25,Hard,1,0,Youngest,Metal object,Dead,None/No one,Not imprisoned/Other,No info,Miscellaneous or Undefined,Miscellaneous Groups,Silent Generation
35,35,Zhang Jun,Male,05.08.1966,China,Robber,27,Without any Cause,Robbery,All,28,28,Easy,7,10000,No info,Shooting,Dead,None/No one,Death penalty,Uneducated,Robbery or Material Gain,Miscellaneous Groups,Generation X
36,36,Peter Tredget,Male,31.07.1960,UK,Labourer,13,Mental illness,Revenge,All,26,26,Hard,6,100,No info,Fire,Alive,None/No one,Life imprisonment,No info,Revenge or Hatred,Miscellaneous Groups,Baby Boomer Generation
37,37,Majid Salek Mahmoudi,Male,1953,Iran,Unemployed,18,Resentment/Hate,Desire for revenge unfaithful women to their husbands,Women,24,24,Moderate,4,0,Middle,Hammer/Axes,Dead,Partner,Not imprisoned/Other,No info,Revenge or Hatred,Miscellaneous Groups,Baby Boomer Generation
38,38,The Stoneman,Other,None/No Info,India,Unidentified,-,,,"Homeless, no relatives",25,25,Easy,4,0,No info,Rock,,None/No one,Not imprisoned/Other,Intellectual,,Homeless,Unknown
39,39,Yvan Keller,Male,13.12.1960,France,Miscellaneous Occupations,29,Bullying,Desire for revenge women ,Old women,23,150,Moderate,20,10000,No info,Hammer/Axes,Dead,Parents,Death penalty,No info,Revenge or Hatred,Miscellaneous Groups,Baby Boomer Generation
40,40,Ronald Dominique,Male,09.01.1964,USA,Labourer,33,Bullying,Desire for power,Prostitutes,23,23,Moderate,9,10000,Youngest,Bare hands,Dead,Social Circle,Death penalty,No info,Desire for Power or Fame,Prostitutes,Baby Boomer Generation
41,41,Joan Fernando Hermosa,Male,28.02.1976,Ecuador,Unemployed,15,Without any Cause,No info,Homosexuals and taxi drivers,23,23,Easy,1,4,No info,Shooting,Dead,None/No one,"Prisoned for years, not for lifetime",No info,Miscellaneous or Undefined,Homosexuals,Xennials
